Publication_Number,Abstract
US-7194912-B2,"A sensor has a plurality of carbon nanotube (CNT)-based conductors operatively positioned on a substrate. The conductors are arranged side-by-side, such as in a substantially parallel relationship to one another. At least one pair of spaced-apart electrodes is coupled to opposing ends of the conductors. A portion of each of the conductors spanning between each pair of electrodes comprises a plurality of carbon nanotubes arranged end-to-end and substantially aligned along an axis. Because a direct correlation exists between resistance of a carbon nanotube and carbon nanotube strain, changes experienced by the portion of the structure to which the sensor is coupled induce a change in electrical properties of the conductors."
US-6501969-B1,"Apparatus and method to minimize power usage by electronic devices. In a particular disclosed example, the battery power of a remote handset is reduced by extending the sniff period of a cordless telephone when the remote handset is remote from its base unit and the user is not likely to use the cordless telephone (e.g., when away from the house or when asleep). A low power mode module causes the electronic device, e.g., the remote handset of a cordless telephone, to remain in an extended low power STANDBY mode, or to extends the period of the periodic transition to a receive only STANDBY mode to check status registers at the base unit, at appropriate times. In one embodiment, a low power mode table contains entries defining periods of time during which the remote handset may transition between the low power STANDBY mode and the receive only STANDBY mode. The remote handset transitions to a fully powered transmit/receive (TDD) ON mode, e.g., in response to an appropriate status condition, or in response to the activation of a particular button or sequence of buttons at the remote handset. The extended STANDBY mode may alternatively be activated in response to input from an external device such as a home security system indicating that the user of the cordless telephone is not willing or able to answering any incoming telephone calls. The extended STANDBY mode may also be entered upon determination by the cordless telephone that the telephone line is already in use by another extension (thereby rendering unlikely any receipt of a ring signal condition from the base unit)."
US-7064605-B2,"A method and apparatus is used to provide DC stabilization and noise reduction in a multistage power amplifier. The invention uses various feedback techniques to stabilize DC levels, which helps to reduce noise. The invention also uses other techniques to reduce noise, and to reduce the noise transfer function in a power amplifier."
US-6513182-B1,"Toothbrush comprises a handle and a head, said head comprising upstanding bristles and at least one upstanding tooth polishing element, characterised in that the tooth polishing element is in the form of a resilient wall-like member and is flanked by bristles."
US-7237574-B2,"A nozzle design and method for designing such a nozzle being adapted for three phase slurry flow from the choke into the flash tank during pressure let-down in autoclave mining operations that uses a selection of the expansion ratio in the choke to select a nozzle dispersion angle to select a spread of the flow over the slurry pool in the flash tank, to generally maximize the use of the pool for energy dissipation without causing undo wear and tear on the tank walls."
US-7226655-B2,"A wrap film comprising a layer of resin composition (C) as at least one surface layer, wherein resin composition (C) comprises 100 parts by mass of an aliphatic polyester resin (A) and 5 to 40 parts by mass of a liquid additive (B), and having a surface roughness of 0.5 to 4.0 nm, a tensile modulus of 400 to 1500 MPa, a heat resistant temperature of 130° C. or more and cling energy of 0.5 to 2.5 mJ, and a wrap product having the wrap film placed in a box. There is provided an easy-to-use wrap film having cling property and pulling-out property."
US-7307075-B2,The present invention relates to tetrahydroquinoline compounds as muscarinic receptor agonists; compositions comprising the same; methods of inhibiting an activity of a muscarinic receptor with said compounds; methods of treating a disease condition associated with a muscarinic receptor using said compounds; and methods for identifying a subject suitable for treatment using said compounds.
US-7296871-B2,An integrated circuit having a plurality of devices. The plurality of devices have a plurality of device characteristics. A sectional cut through the integrated circuit reveals the plurality of device characteristics.
US-6969592-B2,"The present invention relates to the field of cancer treatment and, more particularly, it relates to a method for predicting the sensitivity towards chemotherapy of a patient, by measuring glutathione (GSH) blood levels of the said patient undergoing chemotherapeutic treatment."
US-6683758-B2,"A method for fabricating an integrated coil-on-keeper assembly for use in a magnetic circuit to actuate a microactuator. The assembly is formed on a keeper substrate by patterning an insulator layer, plating at least one coil layer and patterning another insulator layer on top of each coil layer. The keeper substrate is etched to form the top keeper of the coil-on-keeper assembly."
US-7225813-B2,"Multiple rib fractures in trauma patients are associated with significant morbidity and mortality. Delayed morbidity for patients with rib fractures is often a result of hypoventilation leading to atelectasis, pneumonia and respiratory failure. Pain management was first recognized as an important factor in preventing complications in these patients. Later, management of the respiratory system became more widely recognized as a major factor in, patients&#39; care. It is now known that patients with multiple rib fractures benefit most from adequate pain control, rapid mobilization, and meticulous respiratory care to prevent complications. A rib fracture score and protocol based on a synthesis of the existing literature is developed. The protocol is directed to decisions about rapid mobilization, respiratory support, and pain management interventions to decrease the length of patients&#39; stay in intensive care units."
US-7104630-B2,A printing-fluid container designed for lateral insertion into a printing-fluid container bay includes a leading surface. The printing-fluid container also includes an alignment pocket recessed into a center portion of the leading surface. The alignment pocket is configured to mate with an outwardly-extending alignment member of the printing-fluid container bay so as to guide the printing-fluid container into a desired position with a desired orientation.
US-7229690-B2,"A microparticle can include a central region and a peripheral region. The peripheral region can include a nanoparticle, such as a metal nanoparticle, a metal oxide nanoparticle, or a semiconductor nanocrystal. The microparticle can be a member of a monodisperse population of particles."
US-7183945-B2,"A system for collecting and managing information relating to vehicles includes a digital image collection system positioned to capture an image of a vehicle travelling along a roadway. The captured images are delivered to a computer program memory via a communications link at a transfer rate substantially equal to 100, 200, and/or 400 megabits per second. A second device collects additional information relating to the vehicle, such as the vehicle&#39;s speed, acceleration, and/or emissions data, and also delivers such information to the memory. Alternatively, two or more video capture devices may be connected in series via communications links that are all capable of transmitting data at rates substantially equal to 100, 200, and/or 400 megabits per second, such that the images collected by all of the capture devices are delivered to the memory."
US-6990368-B2,"A medical imaging system is provided that detects any change in relative position between the patient and the imaging device and corrects the image data for any motion that occurs. The medical imaging system includes: an imaging device for capturing two or more image data sets representative of a patient; a tracking subsystem for capturing patient position data that is indicative of the position of the patient and device position data that is indicative of the position of the imaging device; an image subtraction subsystem for performing a digital subtraction operation between at least two image data sets; and a motion correction subsystem configured to detect a change in the relative position between the patient and the imaging device and, upon detecting a change in the relative position, compensate in at least one of the first image data set and the second image data set for the change in relative position prior to performing the digital subtraction operation."
US-6458221-B1,"The present invention provides a ferritic stainless steel sheet having excellent formability and excellent surface quality after forming. In specific means, the steel sheet contains, by mass %, 0.02 to 0.06% of C, 1.0% or less of Si, 1.0% or less of Mn, 0.05% or less of P, 0.01% or less of S, 0.005% or less of Al, 0.005% or less of Ti, 11 to 30% of Cr, 0.7% or less of Ni, the balance composed of Fe, and inevitable impurities, wherein N is contained to satisfy the relation to the C content represented by 0.06≦(C+N)≦0.12, and 1≦N/C, and V is contained to satisfy the relation to the N content represented by 1.5×10 −3 ≦(V×N)≦1.5×10 −2  (wherein C, N and V: the contents (mass %) of the elements)."
US-7052810-B2,A method of correcting optical proximity effect of contact holes. Corresponding relations between mask critical dimensions (mCDs) and photoresist critical dimensions (pCDs) for each pitch (d) are formed. Correction of each mCD for each combination of pCDs and pitches is determined based on the corresponding relations. The correction is used first to correct each contact hole of a processing mask pattern. The first corrected contact hole of the processing mask pattern is corrected again to a square having the same area as the first corrected contact hole and the same center as the uncorrected contact hole.
US-6853172-B2,"To provide a switching regulator with a small packaging area. A switching regulator according to the present invention includes: a first terminal for inputting an output voltage of the switching regulator; a reference voltage source for generating a reference voltage; a voltage divider circuit for dividing the output voltage of the switching regulator; an error amplifier for inputting the reference voltage and an output signal of the voltage divider circuit; a first circuit block having a resistance, for outputting a signal that varies depending on a resistance value of the resistance; a second circuit block having a square wave oscillator, for outputting a signal based on an output signal of the square wave oscillator and an output signal of the first circuit block; a third circuit block having a logic circuit for receiving the output signal of the square wave oscillator and the output signal of the second circuit block to output a signal, and a circuit for outputting an output signal, which is controlled based on an output of the logic circuit; and a comparator for receiving an output of the error amplifier and the output signal of the third circuit block to output a signal."
US-6987507-B2,"A current feed circuit for feeding a high-frequency current to a plurality of sensor coils in a coordinate input device includes a high-frequency signal transmitting circuit for generating a high-frequency current corresponding to a high-frequency signal input; a plurality of driver transistors, each being provided between the high-frequency signal transmitting circuit and each of a plurality of sensor coils for transmitting the high-frequency current to the corresponding sensor coil; and a plurality of switches, each being provided with respect to each of the plurality of driver transistors for turning on/off the corresponding driver transistor."
US-7037353-B2,"This is a minus ion generating apparatus by which cluster ions in which minus ions and plus ions are mixed can be readily and largely fabricated and only minus ions can be separated and used. The apparatus is characterized in that a spray nozzle is connected to a gas-and-liquid separator. In order to more effectively generate the minus ions, the minus ion generating apparatus comprises a mixing flow path, a supplying flow path for fluid and a discharging flow path for fluid which are in communication with the mixing flow path. The mixing flow path comprises plural circular flow paths that are arranged in parallel and that are communicated in a radial direction; plural inlets and plural outlets formed in circular flow paths, so that the location of the inlets and the location of the outlets are mutually different in a radial direction; plural communicating flow paths by which the inlets formed in one circular flow path communicates with the outlets formed in another circular flow. The spray nozzle is connected to a supplying flow path and the gas-and-liquid separator is connected to a discharging flow path. A minus ion generating system is characterized in that plural ion generating apparatuses are connected to pipes for sending wind in a single system."
US-6498751-B2,"A sense amplifier for nonvolatile memories includes a first line path (precharging path) having a first transistor and a third transistor connected in series with the bit line for a memory cell that is to be read. The sense amplifier also includes a second line path (reading path), running parallel to the first line path, in which a transistor diode and a fourth transistor are connected in series with the bit line. The gates of the third transistor and of the fourth transistor are at the same potential, in particular, are connected to one another."
US-6504655-B2,"The object of the present invention is to provide a wide converter lens capable of obtaining an angle of view of about 80° or over and having small appearance of distortion. According to one aspect, a wide converter lens for using by attaching to an object side of a photographic lens includes, in order from the object side, a first positive lens having double convex surfaces, a negative lens unit including at least one negative lens, and a second positive lens having double convex surfaces. The following conditional expression is satisfied: 
     
       
         −0.8&lt;( r 2+ r 1)/( r 2− r   1)&lt;0.8    
       
     
     where r1 denotes the radius of curvature of the object side surface of the first positive lens and r2 denotes the radius of curvature of the image side surface of the first positive lens."
US-6556371-B1,"A method of generating a higher-order trigonometric sequence, by constructing a table having a first-order trigonometric sequence, indexing the table to yield a different sequence based on an order number of a desired higher-order harmonic, and catenating values in the table according to the different sequence to yield a higher-order trigonometric sequence whose order is the order number. The table may be a first-order sine sequence, with the method yielding a higher-order sine sequence, or the table may be a first-order cosine sequence, with the method yielding a higher-order cosine sequence. The table has a period N, and indexing is accomplished by computing pointer indices equal to (k*n)mod(N), where k is the order number, and 0≦n&lt;N. In the special case where N is a multiple of 4, a single table may be used for both higher-order sine and higher-order cosine sequences. This method may be applied to the calculation of a local PES-correction value for at least one track of a direct access storage device. The local PES-correction value is then used to position a read/write head of the direct access storage device over the track. The PES-correction value for the track may be stored on a sector of the direct access storage device."
US-6686821-B2,"A relay device capable of reducing the manufacturing costs thereof by decreasing the number of parts and the number of electrical connections between these parts, and making the manufacturing process simple. The relay device has a plurality of electromagnetic relays and uses a common base plate with which stems of the electromagnetic relays are formed integrally, and on which a wiring member is formed by resin molding. The wiring member on the common base plate is projected from the molded resin to define a fixed contact member of each electromagnetic relay. Each relay unit assembly of each electromagnetic relay except for the fixed contact member thereof is secured to the common base plate such that a movable iron piece is driven in parallel with a surface of the common base plate. The construction of the resultant relay device is compact, the relay properties are readily adjusted, and the number of parts can be reduced."
US-6747928-B2,"The present invention discloses a method for compensating the laser energy of optical disk drives, which is used for adjusting and correcting the light source energy run-out for the laser light source of an optical disk drive, comprising the step of writing in the signal by several different laser illumination parameters when the optical disk drive is under the mode of data write; then using the bottom curve fit to take samples on a plurality of read signals; comparing the data at adjacent points to obtain the data of its relative slope; repeating the previous steps for several times to obtain a complete run-out factor and the maximum optimal laser illumination control parameter; and writing said maximum laser illumination value into the laser illumination control system of the optical disk drive such that the laser light source energy can be optimally compensated and controlled."
US-6823181-B1,"The universal platform for the SDR of the present invention employs the direct conversion approach with the n-port MMIC followed by reconfigurable reprogrammable devices such as DSP&#39;s or FPGA&#39;s. The universal platform is based on the linear operation of the devices. Thus, the DC offset problem may be solved. It is also possible to support very wide bandwidths compared with conventional I/Q receivers. Therefore, the present universal platform is suitable for multimode and multiband communications."
US-6930286-B2,"A heating cooker capable of evenly supplying steam from a steam generator into a cooking cavity. The heating cooker includes a cooking cavity, a steam generator to supply steam into the cooking cavity, and food racks installed in the cooking cavity to support food thereon. Each of the food racks is fabricated with a pipe having a plurality of steam discharging holes so that the steam is fed into each of the food racks. Thus, the heating cooker allows the steam to be distributed through entire portions of the food racks to allow the steam to be evenly discharged into the cooking cavity."
US-6971058-B2,"A method and apparatus for searching for a character pattern within a data stream. A checksum is computed for one or more patterns for which the data stream will be searched. The patterns may be of the same length or they may be of different lengths. A shift register is used to sequentially parse through the data stream and compute the checksum of a series of bytes in the data stream. If the checksum of the bytes in the data stream that have been shifted into the register matches the checksum from one of the character patterns, then the character pattern corresponding to the checksum has been found. The system may search multiple character patterns simultaneously by using multiple checksum generators in parallel."
US-7045215-B2,"A magnetic recording disk has a high-adhesion lubricant layer that permits an operation at an extremely low level of flying height of 12 nm or less without troubles and which is capable of preventing the migration at a high-speed rotation, and comprises a substrate, a magnetic layer formed on the substrate, a protective layer formed on the magnetic layer and a lubricant layer formed on the protective layer, the lubricant layer containing a compound (A) of the general formula (I), 
                 
         wherein each of p and q is an integer of 1 or more, and   a compound (B) having a perfluoropolyether main chain having two end moieties each of which contains a carbon atom or an oxygen atom to which a hydroxyl-containing hydrocarbon group that optionally contains ether bond(s) is bonded, and a process for the manufacture thereof is provided."
US-7081746-B2,"An inductive displacement detector of a rotary type is disclosed, which includes a first flux coupling winding and a second flux coupling winding alternately arranged on a rotor. The first flux coupling winding has a line conductor crossed. The second flux coupling winding has a line conductor not crossed. In the first and second flux coupling windings the transmission conductors thereof share a side."
US-7133755-B2,"A system and method for providing state of health monitoring and fault diagnostics for a vehicle stability system. The system includes at least one primary sensor and at least one secondary sensor for sensing the operation of at least one vehicle characteristic. The system calculates an estimated output of the primary sensor using at least one estimate model, and generates at least one residual as the difference between a measured output of the primary sensor and the estimated output of the estimate model. The system uses a residual pattern to determine if the primary sensor is faulty. The system compares the measured output of the primary sensor to a measured output of the secondary sensor if the residual is less than a threshold, and determines that the secondary sensor is faulty if the comparison between the measured outputs of the primary and secondary sensors is greater than a predetermined threshold."
US-7300226-B1,An assembly for receiving and diffusing stormwater in underground installations includes a horizontally elongated plastic chamber having an arched cross-sectional shape with an upwardly directed apex having an inlet portal. A sediment-accumulating compartment is positioned below the chamber in vertical alignment with the portal. A rigid riser pipe of circular cylindrical configuration penetrates the portal and extends vertically between a bottom extremity located within the chamber and a top extremity positioned substantially at ground level in association with a grated street-level stormwater receiving structure.
US-7326978-B2,"A color filter of an image sensor, an image sensor and a method for manufacturing the image sensor are disclosed, wherein shapes of respective unit color cells closely form various color patterns, such as a red color pattern, a green color pattern and a blue color pattern, within each unit color cell in a stripe type, and various colors such as red, green and blue required for image generation are produced, without interdependence of the respective unit color cells, are normally realized to induce a finished color filter array to smoothly express more colors, so that the resolution of a generated image in an optimal state is achieved."
US-7336360-B2,"To effectively reduce a measurement error in a parameter indicating two-dimensional spatial distribution of a state of polarization generated by variations in retardation of a birefringent prism pair due to a temperature change or other factors, while holding a variety of properties of an imaging polarimetry using the birefringent prism pair. By noting that reference phase functions φ 1 (x, y) and φ 2 (x, y) are obtained by solving an equation from each vibration component contained in an intensity distribution I(x, y), the reference phase functions φ 1 (x, y) and φ 2 (x, y) are calibrated concurrently with measurement of two-dimensional spatial distribution S 0 (x, y), S 1 (x, y), S 2 (x, y), and S 3 (x, y) of Stokes parameters."
US-6603212-B2,"A laser diode that uses air as a reflective layer, thereby enhancing reflectance with respect to an oscillating laser beam, and a method for fabricating such a laser diode are provided. The laser diode includes a substrate, a laser oscillating layer formed on the substrate, an upper electrode formed on the laser oscillating layer, and a reflective layer formed at one side of the laser oscillating layer, wherein the reflective layer comprises air layers. According to the laser diode and the method for fabricating the same, it is possible to form a reflective layer having a higher reflectivity with a reduced number of pairs of reflective layers, thereby making a laser diode whose threshold voltage is reduced and which can produce a high-output laser beam."
US-6693530-B1,"A network may receiving tracking information of various emergency services personnel, so that when a security breach has occurred at a particular location, the network may receive a surveillance profile from a computer that is disposed at the location where the detector is located, and dispatch the most geographically appropriate emergency services personnel as determined based on the tracking information. A verification protocol may be initiated by calling a predetermined sequence of telephone numbers set by the subscriber to the security system. If the subscriber provides the predetermined authorization code, the detected security breach is disregarded as being a false alarm. However, if the call recipient is unable to provide the predetermined authorization code, or if there is no answer at any of the numbers in the predetermined call sequence, the emergency services personnel are dispatched."
US-6736533-B2,"A projector-type vehicular headlamp including a shade partially blocking light reflected by a reflector and a visor-like shield plate attached on the back of the shade. The shade has an opening near the upper edge so as to allow a light distribution pattern to be formed for overhead sign illumination by the light radiated forward through the opening. The visor-like shield plate extends obliquely downward from between the upper edge of the shade and the opening, thus allowing only the reflected light from the lower reflecting area of the reflecting surface to be directed to reach the opening of the shade, and preventing light flux of an overhead sign illuminating light from becoming excessively bright."
US-6922050-B2,"A method for testing semiconductor devices includes loading a customer tray with semiconductor devices to be tested. Groups of devices are transferred from the customer tray to buffer trays for testing. The number of devices in the customer tray is checked after each transfer. If the customer tray is empty, the number of semiconductor devices in the buffer trays is counted and compared with the number of semiconductor devices that can be tested simultaneously, typically either 64 or 128. If the number of semiconductor devices in the buffer trays is greater than the tester capacity, the semiconductor devices in at least one buffer tray are tested. If the number of semiconductor devices in the buffer trays is smaller than the tester capacity, semiconductor devices that were determined to be low quality in a prior test are loaded into a buffer tray, thus testing both untested and low quality devices together."
US-6938584-B2,"A feedwater control system considering a pressure drop of feedwater control valve in a nuclear power plant and a control method therefor are provided. In the feedwater control system, a first detection unit includes: a flow error signal generator for generating a flow error signal corresponding to a difference between a steam flow signal and a feedwater flow signal; and a water level correction error signal generator for generating a water level correction error signal corresponding to a sum of a water level measurement signal and the flow error signal. A second detection unit includes: a pressure drop sensor unit for detecting a pressure difference between front and rear portions of at least one feedwater control valve among the main feedwater control valves and the downcorner feedwater control valves and generating a pressure drop signal corresponding to the detected pressure difference; a pressure drop setup value signal generator for generating a pressure drop setup value signal corresponding to a previously set pressure drop setup value of the feedwater control valves; and a pressure drop error signal generator for comparing the pressure drop signal with the pressure drop setup value signal and generating a pressure drop error signal. A control unit controls the main feedwater pump based on a correction control signal output from the correction control signal generator."
US-6942314-B2,"An inkjet recording apparatus performs recording by using an inkjet head having a depression between a nozzle member and a wiring member in a direction in which the inkjet head and a wiper relatively move. In the inkjet recording apparatus, the wiper can perform good wiping of the surface of the wiring member and the surface of the nozzle member."
US-6961215-B2,"A disk drive device includes a recording medium, a head slider having a head element for recording data on the recording medium and for reading data recorded on the recording medium, a spindle motor for rotating the recording medium, and a clamp for applying a pressing force to the recording medium to fasten the recording medium to the spindle motor. The disk drive device has a feature in which a film body formed from a material which is more pliable than a material forming the clamp is interposed between the clamp and the recording medium. Even if the clamp does not have a high flatness, the film body absorbs irregularities of the clamp. Thus, it is possible to fasten the recording medium with the clamp while apparently keeping flatness."
US-6994259-B2,"A device is presented including a processor having a main memory. The processor includes a state synchronization process. A state memory is attached to the processor. A display, an interface and a transmitting/receiving device are also attached to the processor. The state synchronization process transmits state data to the state memory and to an external device."
US-7051186-B2,"A multi-port register file may be selectively bypassed such that any element in a result vector is bypassed to the same index of an input vector of a succeeding operation when the element is requested in the succeeding operation in the same index as it was generated. Alternatively, the results to be placed in a register file may be bypassed to a succeeding operation when the N elements that dynamically compose a vector are requested as inputs to the next operation exactly in the same order as they were generated. That is, for the purposes of bypassing, the N vector elements are treated as a single entity. Similar rules apply for the write-through path."
US-7159605-B2,A chatter resistant shuttle valve is provided to direct fluid flow from at least two sources of pressurized fluid to a downstream apparatus. The shuttle valve includes a valve body with a shuttle valve member movably mounted inside. A dampening chamber is provided which dampen opening movement of the shuttle as it moved from a closed position on one side of the shuttle toward a closed position on the other end of the shuttle. One or more dampening chambers may be provided.
US-7212471-B2,"A method is for simultaneously operating the tray of an optical disk system and the front panel of the computer cabinet wherein the optical disk system is housed. In the method, the tray of the optical disk system is ejected immediately after the front panel of the computer case is completely opened when a tray operation instruction is issued and the front panel is currently at a close state. Additionally, the tray is retracted into the optical disk system before the front panel of the computer case is closed when a tray operation instruction is issued again and the front panel is currently at an open state so that the optical disk system may been closed inside a computer cabinet of the computer including HI-FI stereo. In the embodiment, the tray operation instruction is delivered via an output pin of the computer including HI-FI stereo and one of the reserved output pin of the optical disk system."
US-6531088-B2,"A door for molten metal holding furnaces which includes a fixed plate with charging and inspection hole provided with two supports positioned at the sides of the charging hole and with two vertical wings positioned on an upper part of the plate and two guides are hinged to the two vertical wings and directed downwards, beyond a lower edge of the charging hole. A closing panel with gasket is equipped with lateral pins that are housed in the guides for making the closing panel slide along the guides. One or more pressure mechanisms act on lower ends of the guides and rotate the guides so as to bring the closing panel in contact with the plate and press the panel against the hole or to move it away from the plate."
US-6724263-B2,"A high-frequency power amplifier includes a transistor which is inputted with a high-frequency signal, amplifies the high-frequency signal and outputs the same; a fundamental-signal matching circuit, one end of which is connected to an output of said transistor and which matches at least the impedance of fundamental signal in the amplified high-frequency signal and outputs the same from the other end; a power supply which supplies electric power to said transistor from a node located in an interval from the output of said transistor to said fundamental-signal matching circuit; a first inductor, one end of which is connected to said power supply; a second inductor connected in series between the other end of said first inductor and said node; and a first capacitor, one end of which is connected between said first inductor and said second inductor while the other end thereof is connected to a reference potential, said first capacitor forming a first series-resonant circuit with said second inductor and a parallel-resonant circuit with said first inductor."
US-6777875-B1,"The electric lamp ( 1 ) has a lamp vessel ( 2 ), wherein an electric element ( 3 ) is accommodated. Said element is connected to current conductors ( 4 ), molybdenum end portions ( 5 ) of which extend outside the lamp vessel and have a skin of titanium nitride or chromium carbide as a protection against oxidation."
US-6792851-B1,"Apparatus and methodology to provide embossing of recycled pulp, which may contain contaminants such as glue or paper particles, without adversely affecting the processing machinery. This enables the recycled pulp to be embossed in a manner similar to that of non-recycled pulp which provides an absorbency, softness and appearance to the finished product which compares favorably to paper products made from non-recycled pulp. The embossing is carried out by matched embossing rollers in which one of the rollers is relatively soft (Shore A hardness of 50-65) and the other roller is relatively hard (Shore A hardness above 90). Recycled pulp, even containing contaminants, may be embossed in this manner without causing excess wear or possible damage to the embossing rollers."
US-6912665-B2,"A test methodology is used to conduct an automatic chip timing analysis in coarse and fine resolution steps. Timing adjustment circuits implement coarse timing adjustment and fine timing adjustment for chip timing analysis. Timings such as clock, address and control inputs to a memory system can be digitally adjusted with respect to each other. A timer circuit is provided with a counter so that an incremental or decremental timing analysis can be carried out with a specific timing step. An algorithm is implemented which provides an effective, low-cost and accurate timing analysis. A nested loop is set up in the BIST where all possibilities of timing relationships between two or more signals can be applied to a device under test, and weaknesses, or failing timing conditions, can be found."
US-6927899-B2,"An optical element, such as a lens, is described that provides good transmission of radiation in the infrared portion of the electromagnetic spectrum, that can be molded using an injection molding technique. The optical element comprises a moldable matrix in which is distributed a plurality of particles. The material comprising the matrix is selected so as to have a relatively low absorption of radiation in the infrared portion of the electromagnetic spectrum, and the material comprising the particles is selected to have a relatively high transmissivity of radiation in the infrared portion of the electromagnetic spectrum, and both materials are selected so as to have approximately the same index of refraction. The optical element comprising the matrix/particle composite is formed to provide surfaces having the contours that are required to provide the desired optical properties."
US-6975069-B2,"A multi-phase gas discharge lamp includes an interior space defined by at least one wall. A plasma-forming gas is disposed in the interior space. At least three electrodes are positioned to access the interior space, each electrode adapted to receive one phase of a multi-phase AC power source and energize the plasma-forming gas in response. The multi-phase energization of a plasma-forming gas maintains the energy level in the plasma, which maximizes efficiency of a gas discharge lamp."
US-6994290-B2,"The magnetic tape manufacturing apparatus draws out a wide web-like magnetic tape material wound in roll form from the delivery side, slits the magnetic tape material into a plurality of narrow magnetic tapes by use of a slitter while transporting the magnetic tape material, and winds the narrow magnetic tapes on cores on the winding side through a tape transporting device. In the tape transporting device, roller members supporting the narrow magnetic tapes are mounted on supporting shafts, respectively, and an eddy current type clutch is internally mounted on at least one of the supporting shafts so that the eddy current type clutch controls rotation of the one of supporting shafts to control tension of the narrow magnetic tape supported on the roller member mounted on the one of supporting shafts. Hence, by making the tension of the individual magnetic tapes uniform, productivity and product quality can be stabilized and improved and yield can also be improved."
US-7263542-B2,"An inverse filtering method, comprising: generating a first filtered signal based on an input signal; and combining the first filtered signal with the input signal for obtaining a residual signal. The generating comprises: generating at least two second filtered signals, each of said second filtered signals not significantly delayed in time relative to each other, the generating being stable and causal; and amplifying at least one of the second filtered signals with a prediction coefficient."
US-7273311-B2,"A light guide plate ( 30 ) includes an emitting surface ( 32 ) having a plurality of V-shaped prisms ( 33 ) thereat, a bottom surface ( 34 ) opposite to the emitting surface, the bottom surface having a plurality of arc-shaped grooves ( 35 ) thereon, and a cutout portion at a corner between two adjacent sides of the light guide plate, the cutout portion defining a light incident surface ( 31 ). When light beams enter the light guide plate and are reflected by the arc-shaped grooves, the parallel V-shaped prisms significantly reduce or even eliminate further reflection of the reflected light back into the light guide plate. Most or all reflected light beams reaching the emitting surface transmits out from the light guide plate and are utilized. Therefore, the light guide plate and the backlight module can provide highly efficient utilization of light beams."
US-7275915-B2,"A reinforced ceiling fan blade in accordance with the present invention comprises an upper half fan blade and a lower half fan blade. The upper half fan blade includes a plurality of wood sheets. The lower half fan blade includes a plurality of wood sheets, and the upper half fan blade is laminated on the lower half fan blade in such a manner that abutting sides of the upper half fan blade are staggered with respect to abutting sides of the lower half fan blade, so that the strength of the ceiling fan blade can be improved."
US-7310005-B2,"Provided are a receiver and a transceiver for multi-level current-mode signaling, which together may reduce the number of bus lines and increase a data bandwidth. A transmitter transmits one reference current and a multi-level data current. On the basis of the reference current signal received from the transmitter, a receiver generates plural internal reference currents for determining the multi-level data current received from the transmitter, and converting the received multi-level data current into a data voltage having the desired level corresponding to the data that was transmitted."
US-7316124-B2,"Dispenser assembly in the refrigerator having a body and a door for opening/closing a front surface of the body, including a dispenser in the front surface of the door for supplying water, a hinge coupled between the door and the body, a water supply pipe passed through insides of the hinge and the door, and connected to the dispenser, and a curved holding member above the hinge to surround and hold the water supply pipe, thereby holding the water supply pipe securely."
US-6471056-B1,"A portable electronic device protective cover includes a loop-like plastic peripheral strip fitting the periphery of the electronic device to be protected, the loop-like peripheral strip having an insertion slot through which the electronic device to be protected is inserted into the inside of the portable electronic device protective cover, a transparent plastic top panel peripherally sealed to the top side of the loop-like peripheral strip by a high-frequency heat sealing apparatus, and a transparent plastic bottom panel peripherally sealed to the bottom side of the loop-like peripheral strip by a high-frequency heat sealing apparatus."
US-6487863-B1,"A combustion turbine having a compressed air cooling circuit that is connected to a nitrogen source. Compressed air is provided to the cooling circuit upon start-up and gradually switched to nitrogen cooling, as the nitrogen becomes available. Transition from compressed air to nitrogen cooling is supplied to the hottest components first in accordance with a pre-selected control scheme. Upon shutdown of the plant, the process is reversed."
US-6679690-B2,"A scroll compressor including a guide frame ( 22 ) for fixing a fixed scroll member ( 12 ) and a compliant frame ( 24 ) for supporting an oscillating scroll member ( 14 ) in the axial direction of the scroll compressor in the guide frame ( 22 ), wherein the guide frame ( 22 ) has a plurality of cylindrical surfaces ( 33, 35 ), and the compliant frame ( 24 ) has a plurality of cylindrical surfaces ( 23, 25 ) which engage with the cylindrical surfaces ( 33, 35 ), and wherein in order to facilitate assembling of the guide frame ( 22 ) and the compliant frame ( 24 ), the first cylindrical surfaces ( 25, 35 ) are first engaged with each other when the compliant frame ( 24 ) is inserted into the guide frame ( 22 ), that is, the cylindrical surfaces are engaged in the order of increase in diameter."
US-6789471-B2,"A device for printing on paper or plate-shaped materials, such as plates made of glass, ceramic, glass-ceramic or plastic materials, having a transport device for the plates to be printed and an electrostatic, in particular an electrographic, printing device arranged above it. With the printing process of this invention, in an efficient manner, a conveying and centering unit of a screen-printing device is combined as a transport device with the electrostatic, in particular the electrographic, printing device, which is compatible with the upper unit of the screen-printing device."
US-6930836-B2,"A head-up display device having an excellent appearance, which has a simple structure and an excellent design upon both nonuse and use, is provided. A cover having a shape equivalent to that of an aperture formed on an upper surface of a housing is attached on an upper surface of a retractable reflector. The cover slides on the upper surface of the reflector cooperating with a retractable motion of the reflector, thereby performing the opening and closing action of the aperture. When the reflector takes its falling-down posture, the reflector and its rotation shaft can be shielded from an eye range and the number of the parting lines can be reduced."
